id,name,type,subtype,rarity,gorgeous,simple,elegant,lively,mature,cute,sexy,pure,warm,cool,tag1,tag2,maincolor,othercolor,category,inasuit,suit,animated,pose,img
H29,Floating Kite·Gold,hair,hair,5,S,,A,,,A,,S,,S,,,,,,FALSE,,FALSE,FALSE,
H30,Byzantium's Song·Red,hair,hair,3,S,,A,,A,,A,,A,,,,,,,FALSE,,FALSE,FALSE,
H31,Byzantium's Song·Yellow,hair,hair,4,S,,S,,S,,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H32,Ice Warrior,hair,hair,2,,S,B,,,B,A,,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H33,Cute Boy,hair,hair,2,,S,,A,,A,,A,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H34,Autumn Maple,hair,hair,2,,S,C,,,A,,A,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H35,Rose Maiden·Gold,hair,hair,4,B,,B,,,S,,SS,S,,,,,,,FALSE,,FALSE,FALSE,
H36,Rose Maiden·Pink,hair,hair,4,B,,A,,,SS,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H37,Rose Maiden·Silver,hair,hair,4,,A,S,,A,,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H38,Rose Maiden·Black,hair,hair,4,,A,S,,,S,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H39,Victoria,hair,hair,5,S,,S,,,S,S,,,S,Lady,,,,,FALSE,,FALSE,FALSE,
H40,Young Warbler·Verdant,hair,hair,5,A,,SS,,,B,,SS,S,,,,,,,FALSE,,FALSE,FALSE,
H41,Young Warbler·Red,hair,hair,5,A,,SS,,,B,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H42,Rich Lady,hair,hair,4,,A,S,,S,,S,,,S,European,,,,,FALSE,,FALSE,FALSE,
H43,Elf·Gold,hair,hair,5,SS,,SS,,,B,,A,B,,,,,,,FALSE,,FALSE,FALSE,
H44,Elf·White,hair,hair,5,S,,SS,,S,,S,,B,,,,,,,FALSE,,FALSE,FALSE,
H46,Pretty Pony Tail,hair,hair,3,,S,A,,,A,,B,,S,,,,,,FALSE,,FALSE,FALSE,
H48,Violet Peony,hair,hair,3,,A,,S,S,,A,,,C,,,,,,FALSE,,FALSE,FALSE,
H49,Pink Peony,hair,hair,3,,A,,A,,S,A,,A,,,,,,,FALSE,,FALSE,FALSE,
H50,Carelessness,hair,hair,3,,S,A,,,B,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H51,Carefree·Pale,hair,hair,3,,A,S,,,A,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H52,Carefree·Black,hair,hair,3,,S,B,,,B,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H53,Sunflower,hair,hair,4,C,,,SS,,SS,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H54,Rice Butterfly,hair,hair,4,B,,,S,,A,,SS,,B,,,,,,FALSE,,FALSE,FALSE,
H55,Childhood Heart,hair,hair,4,,S,A,,,B,,S,,S,,,,,,FALSE,,FALSE,FALSE,
H56,Innocent Years,hair,hair,4,,S,S,,,B,,A,S,,,,,,,FALSE,,FALSE,FALSE,
H57,Cloud Dancer,hair,hair,5,SS,,A,,SS,,,A,B,,Chinese Classical,Dancer,,,,FALSE,,FALSE,FALSE,
H58,Light Tone,hair,hair,5,S,,,S,,S,,S,B,,,,,,,FALSE,,FALSE,FALSE,
H59,Glaze Melody,hair,hair,5,S,,,A,,SS,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H60,Pretty Lady·Black,hair,hair,4,,S,SS,,,C,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H61,Iceworld Whisper,hair,hair,4,B,,B,,,SS,,S,,SS,,,,,,FALSE,,FALSE,FALSE,
H63,Angel Bunny,hair,hair,5,,B,,S,,S,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H64,Gourds,hair,hair,1,,B,,A,,A,,B,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H65,Gourd Bell,hair,hair,2,,A,,A,,A,,A,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H66,Gourd Bells,hair,hair,3,A,,,S,,A,,S,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H67,Music Princess,hair,hair,3,S,,,S,,S,,A,,B,,,,,,FALSE,,FALSE,FALSE,
H68,Wasteland Jewel,hair,hair,3,S,,S,,,S,A,,,S,Bohemia,,,,,FALSE,,FALSE,FALSE,
H69,Wasteland Jewel·Rare,hair,hair,4,S,,SS,,,B,S,,B,,Bohemia,,,,,FALSE,,FALSE,FALSE,
H70,Wasteland Jewel·Epic,hair,hair,5,SS,,SS,,,B,S,,B,,Bohemia,,,,,FALSE,,FALSE,FALSE,
H71,School Maid,hair,hair,2,,A,,B,,C,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H72,School Girl·Rare,hair,hair,3,,S,A,,A,,,S,,C,,,,,,FALSE,,FALSE,FALSE,
H74,Doll·Gold,hair,hair,4,S,,,SS,,SS,,B,A,,,,,,,FALSE,,FALSE,FALSE,
H76,Cutie,hair,hair,3,A,,S,,,C,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H77,Cutie·Rare,hair,hair,4,S,,S,,A,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H78,Wild,hair,hair,2,A,,,A,,A,A,,,S,Musician,,,,,FALSE,,FALSE,FALSE,
H79,Wild·Rare,hair,hair,3,A,,,S,A,,S,,,A,Musician,,,,,FALSE,,FALSE,FALSE,
H80,Tranquil Time,hair,hair,2,,A,S,,,A,,A,,C,Kimono,,,,,FALSE,,FALSE,FALSE,
H81,Tranquil Time·Rare,hair,hair,3,,A,S,,,B,,S,S,,Kimono,,,,,FALSE,,FALSE,FALSE,
H82,Tranquil Time·Epic,hair,hair,4,,B,S,,,B,,S,S,,Kimono,,,,,FALSE,,FALSE,FALSE,
H83,Pigeon Song·Brown,hair,hair,5,S,,SS,,B,,,S,,S,Lady,,,,,FALSE,,FALSE,FALSE,
H84,Pigeon Song·Blue,hair,hair,5,S,,A,,,S,,S,,S,Lady,,,,,FALSE,,FALSE,FALSE,
H91,Flower Bud,hair,hair,3,,S,,S,,S,,S,,C,,,,,,FALSE,,FALSE,FALSE,
H92,Flower Bud·Rare,hair,hair,4,,S,,B,,SS,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H93,Little Lion,hair,hair,3,B,,,S,,S,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H94,Wheat Ears,hair,hair,3,,B,,B,,SS,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H95,Wheat Ears·Rare,hair,hair,4,,A,,B,,A,,SS,S,,,,,,,FALSE,,FALSE,FALSE,
H97,Red Bean Kiss,hair,hair,2,,A,,A,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H98,Kiss of the red bean,hair,hair,3,,S,,B,,A,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H99,Citrus,hair,hair,3,,S,,C,,S,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H100,Reind,hair,hair,3,,S,,B,,B,,B,S,,,,,,,FALSE,,FALSE,FALSE,
H102,Pretty Girl,hair,hair,1,,A,,A,,A,,A,,C,,,,,,FALSE,,FALSE,FALSE,
H103,Baby Face,hair,hair,1,,A,,C,,S,,S,,C,,,,,,FALSE,,FALSE,FALSE,
H104,Her Beauty,hair,hair,2,,A,S,,S,,A,,,A,Paramedics,Chic,,,,FALSE,,FALSE,FALSE,
H105,Wicker,hair,hair,4,,A,,A,,S,,S,,S,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H106,Willow·Rare,hair,hair,5,S,,SS,,,S,,S,,B,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H107,Vintage England,hair,hair,3,B,,S,,SS,,A,,,B,Britain,,,,,FALSE,,FALSE,FALSE,
H108,Little Nurse,hair,hair,3,,A,S,,A,,,A,,A,Paramedics,Chic,,,,FALSE,,FALSE,FALSE,
H109,Musical Notes­Black,hair,hair,3,,S,,A,,A,,S,,S,Chic,,,,,FALSE,,FALSE,FALSE,
H110,Golden Rice,hair,hair,3,S,,S,,B,,,B,,S,,,,,,FALSE,,FALSE,FALSE,
H111,Western Maiden,hair,hair,3,S,,B,,,B,S,,,S,,,,,,FALSE,,FALSE,FALSE,
H112,Western Maiden·Rare,hair,hair,4,S,,S,,A,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H113,Cheese Cake,hair,hair,3,,A,A,,,S,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H114,Cheese Cake·Rare,hair,hair,4,,S,S,,,A,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H115,Cheese Cake·Epic,hair,hair,5,B,,,S,,SS,,A,SS,,,,,,,FALSE,,FALSE,FALSE,
H116,Legal Belle,hair,hair,2,,S,S,,C,,,C,,S,,,,,,FALSE,,FALSE,FALSE,
H117,Whole City,hair,hair,3,,A,S,,A,,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H118,Whole City·Rare,hair,hair,4,S,,A,,,B,,SS,S,,,,,,,FALSE,,FALSE,FALSE,
H119,Whole City·Epic,hair,hair,5,S,,SS,,,B,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H120,Dreamland,hair,hair,3,,A,S,,,S,,A,A,,,,,,,FALSE,,FALSE,FALSE,
H121,Wild·Epic,hair,hair,4,S,,,A,A,,S,,,S,Musician,,,,,FALSE,,FALSE,FALSE,
H122,Tender Charm,hair,hair,5,C,,S,,S,,A,,A,,,,,,,FALSE,,FALSE,FALSE,
H123,Moon Destiny,hair,hair,4,S,,SS,,B,,S,,,S,,,,,,FALSE,,FALSE,FALSE,
H124,Bambi,hair,hair,4,S,,,A,,S,,S,,C,,,,,,FALSE,,FALSE,FALSE,
H125,Star of Dancing,hair,hair,6,SS,,SS,,S,,A,,S,,,,,,,FALSE,,FALSE,FALSE,
H126,Gothic Lolita,hair,hair,4,S,,,S,,A,S,,,C,Gothic,Lolita,,,,FALSE,,FALSE,FALSE,
H127,Butterfly·Epic,hair,hair,5,A,,S,,,A,,S,SS,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H128,Purple Butterfly,hair,hair,5,B,,SS,,SS,,,A,S,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H129,Watery,hair,hair,3,,A,,A,,S,,S,,A,Fairy,,,,,FALSE,,FALSE,FALSE,
H130,Watery·Rare,hair,hair,5,A,,S,,S,,,S,S,,Fairy,,,,,FALSE,,FALSE,FALSE,
H131,Dragon Maiden,hair,hair,5,B,,S,,S,,,SS,B,,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H132,Vanilla,hair,hair,4,B,,S,,S,,,SS,,A,,,,,,FALSE,,FALSE,FALSE,
H133,Maple,hair,hair,3,,A,,S,,S,C,,,S,,,,,,FALSE,,FALSE,FALSE,
H134,Maple·Rare,hair,hair,4,,A,,S,,S,B,,,S,,,,,,FALSE,,FALSE,FALSE,
H135,Maple·Epic,hair,hair,5,S,,S,,,S,B,,S,,,,,,,FALSE,,FALSE,FALSE,
H136,Higanbana,hair,hair,3,,A,,B,,A,,S,,S,Kimono,,,,,FALSE,,FALSE,FALSE,
H137,Geisha·Rare,hair,hair,4,C,,,A,,A,,SS,,S,Kimono,,,,,FALSE,,FALSE,FALSE,
H138,Geisha·Epic,hair,hair,5,SS,,SS,,B,,,SS,B,,Kimono,,,,,FALSE,,FALSE,FALSE,
H139,Fox Spirit,hair,hair,5,SS,,SS,,B,,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H140,Butterfly,hair,hair,3,,A,B,,,A,,S,,S,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H141,Butterfly·Rare,hair,hair,4,C,,S,,,S,,S,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H142,Bird Song,hair,hair,5,S,,S,,S,,S,,,S,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H143,Romeo,hair,hair,4,,S,,S,,S,,A,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H144,Tender April,hair,hair,3,,S,A,,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H145,Imperial Maid,hair,hair,5,S,,S,,S,,,S,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H146,Orchis,hair,hair,4,,A,S,,S,,,B,,S,,,,,,FALSE,,FALSE,FALSE,
H147,Stunning Visage,hair,hair,3,,A,,C,,S,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H148,Little Red Riding Hood,hair,hair,3,,A,,S,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H149,Red Hat·Rare,hair,hair,4,,A,,S,,S,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H150,Red Hat·Epic,hair,hair,4,,A,,A,,S,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H152,Dream Seeker,hair,hair,3,S,,S,,,B,S,,,B,,,,,,FALSE,,FALSE,FALSE,
H153,Haste,hair,hair,2,,S,,A,,A,,B,,A,,,,,,FALSE,,FALSE,FALSE,
H154,Western Dancer,hair,hair,4,S,,S,,S,,,C,,S,Dancer,,,,,FALSE,,FALSE,FALSE,
H155,Sweetie,hair,hair,3,,C,,SS,,S,,C,,S,,,,,,FALSE,,FALSE,FALSE,
H156,Sweetie·Silver,hair,hair,3,,C,,S,,A,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H159,Energetic Cutie,hair,hair,3,,A,,A,,S,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H160,Gentle Waiter,hair,hair,3,,C,SS,,A,,A,,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H161,Polite Waiter,hair,hair,3,,A,S,,A,,A,,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H163,Obedient Waiter,hair,hair,3,,A,S,,A,,,S,,A,Unisex,,,,,FALSE,,FALSE,FALSE,
H164,Night Rhythm,hair,hair,5,A,,,A,,A,,A,A,,Lady,,,,,FALSE,,FALSE,FALSE,
H165,Fresh Pomelo,hair,hair,3,S,,,B,,S,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H166,Benevolence,hair,hair,3,,A,S,,A,,A,,,S,Chic,,,,,FALSE,,FALSE,FALSE,
H167,Alice,hair,hair,4,,S,,A,,S,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H168,Little Sailor,hair,hair,4,,S,,A,,S,,S,,S,,,,,,FALSE,,FALSE,FALSE,
H169,Flower Hairpin,hair,hair,4,,A,,A,,S,,S,,S,,,,,,FALSE,,FALSE,FALSE,
H170,Lovely Lady,hair,hair,4,,S,S,,S,,A,,S,,,,,,,FALSE,,FALSE,FALSE,
H171,Fruit Jam,hair,hair,3,,A,,S,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H172,Vortex,hair,hair,4,S,,,S,,S,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H173,Tiny Puff,hair,hair,2,S,,,A,,A,,C,,S,,,,,,FALSE,,FALSE,FALSE,
H174,Night Seer,hair,hair,5,,B,S,,,S,,SS,S,,,,,,,FALSE,,FALSE,FALSE,
H178,Kids Show Host,hair,hair,3,,A,,A,,S,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H179,Rock Girl·Red,hair,hair,3,A,,,S,A,,S,,,B,Musician,,,,,FALSE,,FALSE,FALSE,
H180,Rock Girl·Purple,hair,hair,3,A,,A,,A,,S,,,S,Musician,,,,,FALSE,,FALSE,FALSE,
H181,Sunset Song·Brown,hair,hair,3,,A,A,,A,,,A,A,,,,,,,FALSE,,FALSE,FALSE,
H183,Sunset Song·Gold,hair,hair,3,,S,S,,,B,,B,B,,,,,,,FALSE,,FALSE,FALSE,
H184,Sunset Song·Purple,hair,hair,3,,S,S,,,B,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H185,Ahoge·Black,hair,hair,4,,B,,A,A,,,SS,,SS,,,,,,FALSE,,FALSE,FALSE,
H186,Ahoge·Gold,hair,hair,4,,A,,A,A,,,A,,SS,,,,,,FALSE,,FALSE,FALSE,
H187,Rebellious Girl,hair,hair,2,,A,B,,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H188,River Stream,hair,hair,2,,A,A,,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H189,Ship Island,hair,hair,3,S,,,S,,S,,C,,A,,,,,,FALSE,,FALSE,FALSE,
H190,Timi's Bob,hair,hair,2,,S,,C,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H192,Transfer Student·Brown,hair,hair,2,,A,,A,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H193,Transfer Student·Gold,hair,hair,2,,C,,S,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H194,Small Poem,hair,hair,3,,A,,A,,A,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H195,Butterfly Flowers,hair,hair,5,S,,SS,,A,,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H196,Hat Addict,hair,hair,3,,S,,A,,B,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H198,Momika,hair,hair,3,,S,S,,,B,,SS,,C,,,,,,FALSE,,FALSE,FALSE,
H199,Silver Radiance,hair,hair,4,,SS,A,,,B,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H200,Gentle Sister,hair,hair,3,,S,A,,A,,A,,,A,,,,,,FALSE,,FALSE,FALSE,
H201,Tea Tune,hair,hair,3,,S,A,,,B,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H202,Night Shade,hair,hair,4,A,,S,,,S,,B,S,,Kimono,Gothic,,,,FALSE,,FALSE,FALSE,
H204,Polite Assistant,hair,hair,3,,S,A,,C,,S,,,S,,,,,,FALSE,,FALSE,FALSE,
H205,Locco,hair,hair,4,,S,,S,,S,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H206,Beautiful Agent,hair,hair,4,A,,A,,A,,S,,,S,Musician,,,,,FALSE,,FALSE,FALSE,
H207,Cloud Ink,hair,hair,4,,S,,A,,S,,S,,S,Modern China,,,,,FALSE,,FALSE,FALSE,
H208,Rosy Clouds,hair,hair,4,,S,,S,,S,,A,,S,Modern China,,,,,FALSE,,FALSE,FALSE,
H209,Poetic Dream,hair,hair,4,,S,,S,,S,,A,,S,Modern China,,,,,FALSE,,FALSE,FALSE,
H210,Flower Field Girl,hair,hair,5,,B,C,,,B,,A,B,,,,,,,FALSE,,FALSE,FALSE,
H214,Admiration,hair,hair,5,A,,S,,,A,,B,A,,,,,,,FALSE,,FALSE,FALSE,
H215,Warmness,hair,hair,5,A,,B,,,A,,A,A,,,,,,,FALSE,,FALSE,FALSE,
H217,Warmness·Brown,hair,hair,4,,B,B,,,S,,SS,S,,,,,,,FALSE,,FALSE,FALSE,
H219,Waving Veil,hair,hair,4,A,,,SS,,B,,S,,A,,,,,,FALSE,,FALSE,FALSE,
H220,Waving Veil·Gold,hair,hair,4,,B,S,,,S,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H226,Brocade Heart,hair,hair,5,A,,,A,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H227,Lady Wu Mei,hair,hair,5,,S,S,,S,,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H228,Heavenly Emperor,hair,hair,5,S,,SS,,S,,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H232,Pigeon Boy,hair,hair,2,,A,A,,A,,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H233,Apple Pie,hair,hair,2,,A,A,,S,,,C,A,,,,,,,FALSE,,FALSE,FALSE,
H234,Bang Hair Vivi,hair,hair,3,,A,S,,S,,,A,,S,,,,,,FALSE,,FALSE,FALSE,
H235,Upstyle Lisa,hair,hair,3,,B,S,,A,,S,,,S,,,,,,FALSE,,FALSE,FALSE,
H236,Siren,hair,hair,3,,C,S,,A,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H238,Kiki,hair,hair,4,,B,B,,S,,S,,,S,,,,,,FALSE,,FALSE,FALSE,
H239,Marionette·Black,hair,hair,4,S,,B,,S,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H240,Linen Maiden,hair,hair,3,S,,S,,,S,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H241,Marionette·Brown,hair,hair,4,S,,B,,S,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H242,Romeo·Black,hair,hair,4,,S,S,,C,,,S,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H244,Romeo·Gold,hair,hair,4,,S,S,,B,,,S,,S,Unisex,,,,,FALSE,,FALSE,FALSE,
H246,Dream Seeker·White,hair,hair,3,S,,,B,,S,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H247,Haste·Brown,hair,hair,2,,S,,C,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H248,Haste·Gold,hair,hair,2,,A,,A,,A,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H249,Gourds·Black,hair,hair,1,,B,,A,,B,,A,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H254,Gourd Bell·Black,hair,hair,2,,A,,A,,A,,A,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H255,Gourd Bells·Pink,hair,hair,3,A,,,A,,A,,A,,S,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H256,Gourd Bells·Black,hair,hair,3,A,,,A,,A,,A,,A,Chinese Classical,,,,,FALSE,,FALSE,FALSE,
H258,Wasteland Jewel·Purple,hair,hair,3,,B,S,,,S,,S,,C,Bohemia,,,,,FALSE,,FALSE,FALSE,
H260,Wasteland Jewel·Brown,hair,hair,4,,B,S,,SS,,,B,S,,Bohemia,,,,,FALSE,,FALSE,FALSE,
H261,Wasteland Jewel·Silver,hair,hair,5,SS,,S,,B,,,S,S,,Bohemia,,,,,FALSE,,FALSE,FALSE,
H262,Wasteland Jewel·Gold,hair,hair,5,,A,SS,,A,,,A,SS,,Bohemia,,,,,FALSE,,FALSE,FALSE,
H272,Cloud Dancer·Black,hair,hair,5,SS,,B,,SS,,SS,,B,,Chinese Classical,Dancer,,,,FALSE,,FALSE,FALSE,
H273,Cloud Dancer·Pink,hair,hair,5,S,,S,,S,,S,,S,,Chinese Classical,Dancer,,,,FALSE,,FALSE,FALSE,
H274,Cloud Dancer·Gold,hair,hair,5,S,,B,,S,,S,,S,,Chinese Classical,Dancer,,,,FALSE,,FALSE,FALSE,
H275,Mushroom Hair,hair,hair,2,,A,,A,,S,,A,,C,,,,,,FALSE,,FALSE,FALSE,
H281,Cutie·Brown,hair,hair,3,A,,S,,,A,,S,A,,,,,,,FALSE,,FALSE,FALSE,
H285,Cutie·Silver,hair,hair,4,S,,S,,,B,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H286,Light Tone·Purple,hair,hair,5,SS,,,B,,SS,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H287,Light Tone·Brown,hair,hair,5,S,,,S,,S,,S,S,,,,,,,FALSE,,FALSE,FALSE,
H292,Iceworld Whisper·Brown,hair,hair,4,,S,A,,,S,,S,,S,,,,,,FALSE,,FALSE,FALSE,
H293,Little Lion·Brown,hair,hair,3,B,,,S,,S,,S,,C,,,,,,FALSE,,FALSE,FALSE,
H294,Little Lion·Light Brown,hair,hair,3,B,,,S,,S,,S,,B,,,,,,FALSE,,FALSE,FALSE,
H295,Little Lion·Gold,hair,hair,3,B,,,S,,S,,S,,S,,,,,,FALSE,,FALSE,FALSE,
H303,Little Nurse·Brown,hair,hair,2,,A,A,,A,,A,,,A,Paramedics,Chic,,,,FALSE,,FALSE,FALSE,
H304,Little Nurse·Light Brown,hair,hair,2,,A,A,,A,,A,,,A,Paramedics,Chic,,,,FALSE,,FALSE,FALSE,
H305,Little Nurse·White,hair,hair,2,,C,A,,S,,A,,,A,Paramedics,Chic,,,,FALSE,,FALSE,FALSE,
H315,Legal Belle·Gold,hair,hair,2,,A,A,,A,,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H316,Legal Belle·Platinum,hair,hair,2,,A,A,,A,,,A,,A,,,,,,FALSE,,FALSE,FALSE,
H324,Mature Sister·Brown,hair,hair,5,,B,S,,S,,S,,S,,,,,,,FALSE,,FALSE,FALSE,
H325,Mature Sister·Gold,hair,hair,5,,B,SS,,SS,,S,,B,,,,,,,FALSE,,FALSE,FALSE,
H335,Blue Storm,hair,hair,3,S,,,A,A,,A,,,A,Musician,,,,,FALSE,,FALSE,FALSE,
H336,Black Storm,hair,hair,3,A,,,A,A,,A,,,S,Musician,,,,,FALSE,,FALSE,FALSE,
H337,Neon Storm,hair,hair,3,S,,,A,S,,S,,,A,Musician,,,,,FALSE,,FALSE,FALSE,
