id,name,type,subtype,rarity,gorgeous,simple,elegant,lively,mature,cute,sexy,pure,warm,cool,tag1,tag2,maincolor,othercolor,tertiarycolor,category,suit,inasuit,animated,pose,desc
10032,Ice Warrior,hair,hair,2,,S,B,,,B,A,,,A,Unisex,,White,Silver,,,,FALSE,FALSE,FALSE,He walks out of the snow slowly. He is cold and strong - just like a warrior from the North Kingdom.
10033,Cute Boy,hair,hair,2,,S,,A,,A,,A,,A,Unisex,,Silver,Black,,,,FALSE,FALSE,FALSE,Won't a cute shy boy be adored by girls? His sweet smile warms your tiny heart immediately.
10034,Autumn Maple,hair,hair,2,,S,C,,,A,,A,,A,Unisex,,Brown,Yellow,,,,FALSE,FALSE,FALSE,"Standing in a beautiful pile of fallen leaves, he holds his bike and waits for you quietly."
10035,Rose Maiden·Gold,hair,hair,4,B,,B,,,S,,SS,S,,,,Brown,Yellow,,Pigeon,Rose Maiden,TRUE,FALSE,FALSE,"She is a little rose in the Pigeon Garden, waiting for her moment to blossom."
10036,Rose Maiden·Pink,hair,hair,4,B,,A,,,SS,S,,S,,,,Pink,White,,,,FALSE,FALSE,FALSE,The Queen of Pigeon Kingdom often visits the rose sisters in the garden.
10037,Rose Maiden·Silver,hair,hair,4,,A,S,,A,,,S,A,,,,White,Silver,,,,FALSE,FALSE,FALSE,The rose has become the symbol of the Pigeon Kingdom owing to their iron-and-blood queen.
10038,Rose Maiden·Black,hair,hair,4,,A,S,,,S,,S,A,,,,Pink,Purple,,,,FALSE,FALSE,FALSE,Only she knows the reason why Queen named the organization as the Iron Rose.
10039,Victoria,hair,hair,5,S,,S,,,S,S,,,S,Lady,,Brown,Orange,,Pigeon,Age of Steam,TRUE,FALSE,FALSE,"In the Victorian era of booming classicism, this hairstyle represented grace and nostalgia."
10040,Young Warbler·Verdant,hair,hair,5,A,,SS,,,B,,SS,S,,,,Brown,Yellow,,Pigeon,Duke's Daughter,TRUE,FALSE,FALSE,She is Duke Baves's daughter and his only heiress. She is still young and innocent.
10041,Young Warbler·Red,hair,hair,5,A,,SS,,,B,S,,S,,,,Red,Orange,,,,FALSE,FALSE,FALSE,Miss Elinor is only 15 years old. She is adored by the Queen for her sweet singing voice.
10042,Rich Lady,hair,hair,4,,A,S,,S,,S,,,S,European,,Brown,,,Pigeon,The Gentle Madam,TRUE,FALSE,FALSE,A tender charm lies in the forehead curls. It gets mellower as time goes by.
10043,Elf·Gold,hair,hair,5,SS,,SS,,,B,,A,B,,,,Brown,Yellow,,Pigeon,Lily Fairy,TRUE,FALSE,FALSE,"The pigeon kingdom's magical earth has nurtured elves, dwarfs, humans and goblins."
10044,Elf·White,hair,hair,5,S,,SS,,S,,S,,B,,,,Yellow,White,,,,FALSE,FALSE,FALSE,Elves inhabit in the depths of Pigeon Forest. They are all very beautiful.
10046,Pretty Pony Tail,hair,hair,3,,S,A,,,A,,B,,S,,,Brown,,,,,FALSE,FALSE,FALSE,"Bathed in sunlight, it runs like liquid gold..."
10048,Violet Peony,hair,hair,3,,A,,S,S,,A,,,C,,,Purple,,,,,FALSE,FALSE,FALSE,"When she is born on this miraculous continent, what stir will she cause?"
10049,Pink Peony,hair,hair,3,,A,,A,,S,A,,A,,,,Pink,,,,,FALSE,FALSE,FALSE,Apparently there are four famous types of Cloud tree-peonies. Pink Peony is the most fragrant one.
10050,Carelessness,hair,hair,3,,S,A,,,B,,A,,A,,,Red,Pink,,Gallery,Carefree Mood,TRUE,FALSE,FALSE,Living in Lilith Kingdom is like walking into a fairy tale. Everything is so happy and pure.
10051,Carefree·Pale,hair,hair,3,,A,S,,,A,,S,A,,,,Brown,Orange,,,,FALSE,FALSE,FALSE,The Republic of Wasteland never cared about material wealth or power.
10052,Carefree·Black,hair,hair,3,,S,B,,,B,,S,S,,,,Red,,,,,FALSE,FALSE,FALSE,Only girls from the Cloud Empire can have hair as black as sandalwood...
10053,Sunflower,hair,hair,4,C,,,SS,,SS,,S,,B,,,Brown,Orange,,,,FALSE,FALSE,FALSE,"When you are young and innocent, even a smiling face can attract butterflies."
10054,Rice Butterfly,hair,hair,4,B,,,S,,A,,SS,,B,,,Brown,Orange,,,,FALSE,FALSE,FALSE,An elfin born in the Pigeon Kingdom. A very close friend of Bobo!
10055,Childhood Heart,hair,hair,4,,S,A,,,B,,S,,S,,,Brown,Blue,,,,FALSE,FALSE,FALSE,"When we were young, we laughed all the time and had nothing to worry about."
10056,Innocent Years,hair,hair,4,,S,S,,,B,,A,S,,,,Red,Brown,,,,FALSE,FALSE,FALSE,There was always someone or something that gave us unforgettable memories when we were young.
10057,Cloud Dancer,hair,hair,5,SS,,A,,SS,,,A,B,,Chinese Classical,Dancer,Pink,Orange,,,,FALSE,FALSE,FALSE,Nikki learned this hairstyle in the Cloud. It was only meant for the best dancers!
10058,Light Tone,hair,hair,5,S,,,S,,S,,S,B,,,,Pink,Red,,,,FALSE,FALSE,FALSE,The hair from both sides are combed into buns and the remaining hair hang down loosely.
10059,Glaze Melody,hair,hair,5,S,,,A,,SS,,S,S,,,,Pink,,,Lilith,Glossing Rose,TRUE,FALSE,FALSE,"Like sunlight falling through the leaves, it shimmers vivid rays of light."
10060,Pretty Lady·Black,hair,hair,4,,S,SS,,,C,,S,A,,,,Red,Pink,,,,FALSE,FALSE,FALSE,"A classical, sweet hairstyle with a bit of variation in its braids. Not a simple hairstyle at all!"
10061,Iceworld Whisper,hair,hair,4,B,,B,,,SS,,S,,SS,,,Blue,,,,,FALSE,FALSE,FALSE,Nikki was taught this hairstyle when she accidentally rescued the queen of an island country.
10063,Angel Bunny,hair,hair,5,,B,,S,,S,,A,,A,,,Pink,Brown,,Lilith,Cutie Strawberry,TRUE,FALSE,FALSE,A lovely and naughty hairstyle. High ponytails and bouncing hair will make you as cute as a bunny!
10064,Gourds,hair,hair,1,,B,,A,,A,,B,,A,Chinese Classical,,Red,Pink,,,,FALSE,FALSE,FALSE,Young girls in Cloud Empire often wear this hairstyle. You will not see it anywhere else.
10065,Gourd Bell,hair,hair,2,,A,,A,,A,,A,,A,Chinese Classical,,Red,Pink,,,,FALSE,FALSE,FALSE,Young girls in Cloud Empire often wear this hairstyle. The accessory of bells look super cute!
10066,Gourd Bells,hair,hair,3,A,,,S,,A,,S,,A,Chinese Classical,,Red,Brown,,,,FALSE,FALSE,FALSE,Young girls in Cloud Empire often wear this hairstyle. The accessory of bells look super cute!
10067,Music Princess,hair,hair,3,S,,,S,,S,,A,,B,,,Blue,,,,,FALSE,FALSE,FALSE,"It turns you into an angel of musical notes, dancing freely among wonderful melodies."
10068,Wasteland Jewel,hair,hair,3,S,,S,,,S,A,,,S,Bohemia,,Brown,Pink,,,,FALSE,FALSE,FALSE,"On the day she was born, the lion king brought her the holy spring fruit which cures all diseases."
10069,Wasteland Jewel·Rare,hair,hair,4,S,,SS,,,B,S,,B,,Bohemia,,Brown,White,,,,FALSE,FALSE,FALSE,"Daughter of the jungle, jewel of the forest, beloved princess of the Wasteland."
10070,Wasteland Jewel·Epic,hair,hair,5,SS,,SS,,,B,S,,B,,Bohemia,,Brown,Orange,,Apple,Wilds Flower,TRUE,FALSE,FALSE,"As expected, she has become the most beautiful woman in Republic of Wasteland."
10071,School Maid,hair,hair,2,,A,,B,,C,,A,,A,,,Brown,,,,,FALSE,FALSE,FALSE,"According to my sister, I can take the Design Material Recognition course when high school starts!"
10072,School Girl·Rare,hair,hair,3,,S,A,,A,,,S,,C,,,Brown,,,,,FALSE,FALSE,FALSE,"As the subject representative of Design Material Recognition, she was always top of the class."
10074,Doll·Gold,hair,hair,4,S,,,SS,,SS,,B,A,,,,Brown,Yellow,,Apple,Bunny Girl,TRUE,FALSE,FALSE,She is like a cutie in fairy tales. Her long eyelashes make her look like a doll.
10076,Cutie,hair,hair,3,A,,S,,,C,,S,A,,,,Brown,,,,,FALSE,FALSE,FALSE,She was born in the Flourishing Orchard in the Pigeon Kingdom suburb.
10077,Cutie·Rare,hair,hair,4,S,,S,,A,,S,,S,,,,Brown,,,,,FALSE,FALSE,FALSE,She's the most famous daughter of the orchard. She has managed the orchard ever since she grew up.
10078,Wild,hair,hair,2,A,,,A,,A,A,,,S,Musician,,Pink,,,,,FALSE,FALSE,FALSE,"If you hit on a pretty boy in North Kingdom, be careful. Because he may turn out to be a girl."
10079,Wild·Rare,hair,hair,3,A,,,S,A,,S,,,A,Musician,,Pink,Purple,,,,FALSE,FALSE,FALSE,In the North everyone must enlist once they reach a certain age irregardless of gender.
10080,Tranquil Time,hair,hair,2,,A,S,,,A,,A,,C,Kimono,,Red,Brown,,,,FALSE,FALSE,FALSE,"In the Pigeon Café, you can sit leisurely in the sunlight and read a book."
10081,Tranquil Time·Rare,hair,hair,3,,A,S,,,B,,S,S,,Kimono,,Brown,Silver,,,,FALSE,FALSE,FALSE,"In the Cloud Teahouse, you can drink a cup of tea and spend the whole afternoon enjoying the opera."
10082,Tranquil Time·Epic,hair,hair,4,,B,S,,,B,,S,S,,Kimono,,Brown,Silver,,,,FALSE,FALSE,FALSE,"In the Lilith Garden, you can watch the delicate blossoms and enjoy some exquisite afternoon tea."
10083,Pigeon Song·Brown,hair,hair,5,S,,SS,,B,,,S,,S,Lady,,Pink,Red,,,,FALSE,FALSE,FALSE,"If the white pigeon of the Pigeon Kingdom lays on your shoulder, you will become the best designer."
10084,Pigeon Song·Blue,hair,hair,5,S,,A,,,S,,S,,S,Lady,,Blue,,,,,FALSE,FALSE,FALSE,"When Queen Elle was a young princess, she already displayed her exceptional talent as a stylist."
10091,Flower Bud,hair,hair,3,,S,,S,,S,,S,,C,,,Brown,Silver,,,,FALSE,FALSE,FALSE,"Just like a bud ready to burst in the Lilith Kingdom, her beauty starts to bloom."
10092,Flower Bud·Rare,hair,hair,4,,S,,B,,SS,,S,,B,,,Brown,Blue,,,,FALSE,FALSE,FALSE,She is not comparing with other flowers. She is just trying to be prettier than she was yesterday.
10093,Little Lion,hair,hair,3,B,,,S,,S,,S,,B,,,Red,Brown,,,,FALSE,FALSE,FALSE,The little lion in the Pigeon Forest is so cute that people cannot resist rubbing her fluffy ears!
10094,Wheat Ears,hair,hair,3,,B,,B,,SS,,S,,B,,,Brown,Yellow,,,,FALSE,FALSE,FALSE,Enjoying the spring wind at the Apple Federation suburbs and listening to wheat ears' whispers...
10095,Wheat Ears·Rare,hair,hair,4,,A,,B,,A,,SS,S,,,,Brown,Yellow,,,,FALSE,FALSE,FALSE,Be one with the field and sing with wheat ears. Feel the beauty of nature on this magical land.
10097,Red Bean Kiss,hair,hair,2,,A,,A,,A,,A,,A,,,Red,Brown,,,,FALSE,FALSE,FALSE,Enjoy the warmness of the red beans in the chilly winter.
10098,Kiss of the red bean,hair,hair,3,,S,,B,,A,,S,S,,,,Brown,Red,,,,FALSE,FALSE,FALSE,Lunar is a typical virtuous Cloud maiden. She is even more attractive when she is cooking.
10099,Citrus,hair,hair,3,,S,,C,,S,,S,S,,,,Pink,Purple,,,,FALSE,FALSE,FALSE,"As Timi's best friend, this girl is always encouraging her to pursue her own happiness."
10100,Reind,hair,hair,3,,S,,B,,B,,B,S,,,,Pink,Red,,,,FALSE,FALSE,FALSE,"She was Timi's classmate when Timi was a trainee in Lilith Academy. She is a kind, sincere girl."
10102,Pretty Girl,hair,hair,1,,A,,A,,A,,A,,C,,,Pink,,,,,FALSE,FALSE,FALSE,"Although she keeps her hair short, this pretty girl will become a beautiful woman someday."
10103,Baby Face,hair,hair,1,,A,,C,,S,,S,,C,,,Pink,,,,,FALSE,FALSE,FALSE,"Super delicate and young, a baby face with such a hairstyle is totally irresistible."
10104,Her Beauty,hair,hair,2,,A,S,,S,,A,,,A,Paramedics,Chic,Brown,Pink,,,,FALSE,FALSE,FALSE,Serious office lady with outstanding execution and leadership abilities.
10105,Wicker,hair,hair,4,,A,,A,,S,,S,,S,Chinese Classical,,Brown,Red,,,,FALSE,FALSE,FALSE,"Among the green trees and red flowers, the picturesque lake can be seen from the pavilion."
10106,Willow·Rare,hair,hair,5,S,,SS,,,S,,S,,B,Chinese Classical,,Red,Brown,,Cloud,Green Willow,TRUE,FALSE,FALSE,A sudden shower under the white clouds floods the river.
10107,Vintage England,hair,hair,3,B,,S,,SS,,A,,,B,Britain,,Red,,,,,FALSE,FALSE,FALSE,"Walking on the streets of Pigeon Kingdom, Nikki has a feeling that she is in medieval Europe."
10108,Little Nurse,hair,hair,3,,A,S,,A,,,A,,A,Paramedics,Chic,Brown,Pink,,Apple,Angel in White,TRUE,FALSE,FALSE,This hairstyle goes well with a nurse cap. It looks very gentle.
10109,Musical Notes­Black,hair,hair,3,,S,,A,,A,,S,,S,Chic,,Red,Pink,,Cloud,Fragrance Villa,TRUE,FALSE,FALSE,"As beautiful melodies are played by nimble fingers, everything is so peaceful and nice..."
10110,Golden Rice,hair,hair,3,S,,S,,B,,,B,,S,,,Brown,Orange,,,,FALSE,FALSE,FALSE,"Rice ears spread under the warm sun, reflecting rays as dazzling as gold."
10111,Western Maiden,hair,hair,3,S,,B,,,B,S,,,S,,,Brown,Orange,,,,FALSE,FALSE,FALSE,The sad melodies sung by the maiden from the west travel across the vast grassland.
10112,Western Maiden·Rare,hair,hair,4,S,,S,,A,,S,,S,,,,Brown,,,Apple,Cowboy Style,TRUE,FALSE,FALSE,The sad melodies sung by the maiden from the west travel across the vast grassland.
10113,Cheese Cake,hair,hair,3,,A,A,,,S,,S,,A,,,Brown,White,,,,FALSE,FALSE,FALSE,"Perhaps it's because of working in the dessert shop, there is always a sweet smell in the air."
10114,Cheese Cake·Rare,hair,hair,4,,S,S,,,A,,S,A,,,,Brown,Orange,,,,FALSE,FALSE,FALSE,"Perhaps it's because of working in the dessert shop, there is always a sweet smell in the air."
10115,Cheese Cake·Epic,hair,hair,5,B,,,S,,SS,,A,SS,,,,Brown,Yellow,,Apple,Chocolate Housemaid,TRUE,FALSE,FALSE,"Perhaps it's because of working in the dessert shop, there is always a sweet smell in the air."
10116,Legal Belle,hair,hair,2,,S,S,,C,,,C,,S,,,Black,Silver,,,,FALSE,FALSE,FALSE,"She is not only hard-working but also single! To those male elites who are interested, act now!"
10117,Whole City,hair,hair,3,,A,S,,A,,,S,,A,,,Red,Pink,,,,FALSE,FALSE,FALSE,The storm is brewing over the whole city. But it is forgotten in dreamy Shanghai at night.
10118,Whole City·Rare,hair,hair,4,S,,A,,,B,,SS,S,,,,Pink,Brown,,,,FALSE,FALSE,FALSE,The storm is brewing over the whole city. But it is forgotten in dreamy Shanghai at night.
10119,Whole City·Epic,hair,hair,5,S,,SS,,,B,,S,S,,,,Pink,Black,,Cloud,Story of Shanghai,TRUE,FALSE,FALSE,The storm is brewing over the whole city. But it is forgotten in dreamy Shanghai at night.
10120,Dreamland,hair,hair,3,,A,S,,,S,,A,A,,,,Brown,,,Apple,Panda Dreamland,TRUE,FALSE,FALSE,The body wash of strawberry smell is specially used by those hoping for a sweet nice dream.
10121,Wild·Epic,hair,hair,4,S,,,A,A,,S,,,S,Musician,,Pink,Purple,,Apple,Sexy Bad Girl,TRUE,FALSE,FALSE,"After transferring to a private school in the Apple Federation, she was still outstanding."
10122,Tender Charm,hair,hair,5,C,,S,,S,,A,,A,,,,Blue,,,Apple,Dancing Queen,TRUE,FALSE,FALSE,This type of charm and temperament can only happen over time. A pretty face is not enough!
10123,Moon Destiny,hair,hair,4,S,,SS,,B,,S,,,S,,,Pink,Brown,,Happiness,Realized Dream,TRUE,FALSE,FALSE,Nikki was lucky to witness a wedding in a church when she traveled around the Apple Federation.
10124,Bambi,hair,hair,4,S,,,A,,S,,S,,C,,,Brown,,,Apple,Mori Girl and Reindeer,TRUE,FALSE,FALSE,Its shoulder-length wavy hair and neat bangs look cute and sweet.
10125,Star of Dancing,hair,hair,6,SS,,SS,,S,,A,,S,,,,Blue,Purple,,Classic,Star Sea,TRUE,FALSE,FALSE,"As the hottest rising dance star on the continent, Sofia is the pride of the Lilith Kingdom."
10126,Gothic Lolita,hair,hair,4,S,,,S,,A,S,,,C,Gothic,Lolita,Silver,White,,Lilith,Gothic Lolita,TRUE,FALSE,FALSE,"There are no more innocent smiles, only an empty, mysterious hole, without a single breath of life."
10127,Butterfly·Epic,hair,hair,5,A,,S,,,A,,S,SS,,Chinese Classical,,Brown,Pink,,Cloud,Elegant Phalaenopsis•Pink,TRUE,FALSE,FALSE,"When the butterfly flutters, the fragrance will travel one hundred miles away."
10128,Purple Butterfly,hair,hair,5,B,,SS,,SS,,,A,S,,Chinese Classical,,Purple,Blue,,,,FALSE,FALSE,FALSE,"When the butterfly flutters, the fragrance will travel one hundred miles away."
10129,Watery,hair,hair,3,,A,,A,,S,,S,,A,Fairy,,Blue,White,,,,FALSE,FALSE,FALSE,Only in the Pigeon Kingdom can you see such a cute elf.
10130,Watery·Rare,hair,hair,5,A,,S,,S,,,S,S,,Fairy,,Blue,White,,Pigeon,Princess Jellyfish,TRUE,FALSE,FALSE,Only in the Pigeon Kingdom can you see such a cute elf.
10131,Dragon Maiden,hair,hair,5,B,,S,,S,,,SS,B,,Chinese Classical,,Blue,Silver,,Cloud,Dragon Maiden,TRUE,FALSE,FALSE,Her skin is snow white and her magnificence is out of this world.
10132,Vanilla,hair,hair,4,B,,S,,S,,,SS,,A,,,Blue,Silver,,Cloud,Riverside Vanilla,TRUE,FALSE,FALSE,"On a sunny spring day, the lake becomes tranquil and merges with the azure sky into one."
10133,Maple,hair,hair,3,,A,,S,,S,C,,,S,,,Orange,Brown,,,,FALSE,FALSE,FALSE,"As a female ninja in the Cloud, the first thing you need is ruthlessness."
10134,Maple·Rare,hair,hair,4,,A,,S,,S,B,,,S,,,Brown,Orange,,,,FALSE,FALSE,FALSE,"The master once said, ruthlessness is a ninja's most deadly weapon."
10135,Maple·Epic,hair,hair,5,S,,S,,,S,B,,S,,,,Brown,Orange,,Cloud,Maple Leaf Ninja,TRUE,FALSE,FALSE,"Only when you have a strong heart can you fight with no hesitation, thus hiding your weaknesses."
10136,Higanbana,hair,hair,3,,A,,B,,A,,S,,S,Kimono,,White,Purple,,,,FALSE,FALSE,FALSE,"The underworld has its beauty, the devils have their gentle side."
10137,Geisha·Rare,hair,hair,4,C,,,A,,A,,SS,,S,Kimono,,White,Purple,,,,FALSE,FALSE,FALSE,Some flowers fade on the other side. Some flowers bloom on the other side.
10138,Geisha·Epic,hair,hair,5,SS,,SS,,B,,,SS,B,,Kimono,,White,Red,,Cloud,Higanbana Princess,TRUE,FALSE,FALSE,"During the flower season, only the rosa rubus are blossoming."
10139,Fox Spirit,hair,hair,5,SS,,SS,,B,,,A,,A,,,Brown,Orange,,Cloud,Poppy Fox,TRUE,FALSE,FALSE,"Deep inside the forest of Cloud, a little fox, under the nourishment of nature, gained human's form."
10140,Butterfly,hair,hair,3,,A,B,,,A,,S,,S,Chinese Classical,,Red,Brown,,,,FALSE,FALSE,FALSE,"The infant butterfly first opens its eyes and sees the world, filled with innocence and hope."
10141,Butterfly·Rare,hair,hair,4,C,,S,,,S,,S,,A,Chinese Classical,,Red,Brown,,,,FALSE,FALSE,FALSE,The little butterfly spreads its wings gradually and flies towards the colorful flower field.
10142,Bird Song,hair,hair,5,S,,S,,S,,S,,,S,Chinese Classical,,Blue,White,,Cloud,Flying Peafowl,TRUE,FALSE,FALSE,The lone bird dances to the music of the flute and then flies away by itself.
10143,Romeo,hair,hair,4,,S,,S,,S,,A,,S,Unisex,,Brown,,,Troupe,Romeo,TRUE,FALSE,FALSE,Quiet! What's that light coming through the window? It's the east! Juliet is the sun!
10144,Tender April,hair,hair,3,,S,A,,,A,,A,,A,,,Blue,Silver,,Cloud,Tender April,TRUE,FALSE,FALSE,"You are like the tender April days, a dancing spirit in the warmth of spring."
10145,Imperial Maid,hair,hair,5,S,,S,,S,,,S,,A,Chinese Classical,,Silver,Orange,,Cloud,Royal Beauty,TRUE,FALSE,FALSE,Nikki always watched imperial dramas with her mom as a child to see the ancient girls' hairstyles.
10146,Orchis,hair,hair,4,,A,S,,S,,,B,,S,,,Pink,Silver,,Cloud,Orchid's Chant,TRUE,FALSE,FALSE,The sun shines while the plants absorb light. Only the orchids are silently delivering their scent.
10147,Stunning Visage,hair,hair,3,,A,,C,,S,,S,S,,,,Red,Pink,,,,FALSE,FALSE,FALSE,You don't need to see their traditional clothing to recognize a Cloud girl when you see one.
10148,Little Red Riding Hood,hair,hair,3,,A,,S,,A,,A,,A,,,Brown,Red,,,,FALSE,FALSE,FALSE,"Long ago, there was a cute and gentle girl."
10149,Red Hat·Rare,hair,hair,4,,A,,S,,S,,A,,S,,,Brown,Orange,,,,FALSE,FALSE,FALSE,"Long ago, there was a cute and gentle girl who lived in a village with her parents."
10150,Red Hat·Epic,hair,hair,4,,A,,A,,S,,S,S,,,,Brown,Yellow,,Lilith,Red Hood's Adventure,TRUE,FALSE,FALSE,"Long ago, there was a girl who lived in a village with her parents. Her gran lived in the forest."
10152,Dream Seeker,hair,hair,3,S,,S,,,B,S,,,B,,,Brown,Yellow,,,,FALSE,FALSE,FALSE,She hoped to go to the North Kingdom and experience the mysterious country when she grew up.
10153,Haste,hair,hair,2,,S,,A,,A,,B,,A,,,Pink,Red,,,,FALSE,FALSE,FALSE,Do you still remember your childhood dream? It's like a flower that will never wither.
10154,Western Dancer,hair,hair,4,S,,S,,S,,,C,,S,Dancer,,Red,Pink,,Cloud,Western Dancer,TRUE,FALSE,FALSE,"In the western Cloud Empire, there are the most stylish and enchanting dancers."
10155,Sweetie,hair,hair,3,,C,,SS,,S,,C,,S,,,Pink,Red,,Apple,Sweet Pastry Cook,TRUE,FALSE,FALSE,The baker's cakes look quite sweet as well!
10156,Sweetie·Silver,hair,hair,3,,C,,S,,A,,S,,A,,,Blue,White,,,,FALSE,FALSE,FALSE,The baker's cakes look quite sweet as well!
10159,Energetic Cutie,hair,hair,3,,A,,A,,S,,S,,A,,,Brown,Blue,,,,FALSE,FALSE,FALSE,"Nobody can resist such a cute girl. With those puppy eyes, she can get whatever she wants."
10160,Gentle Waiter,hair,hair,3,,C,SS,,A,,A,,,A,Unisex,,Silver,Blue,,Gallery,Gentle Servant,TRUE,FALSE,FALSE,"Biggest Pigeon Empire chain hotel - the Kloss Family's oldest son, is sent to do grass root work!"
